"","Well","Sample","Species","Task","Reporter","Quencher","Ct","Cт.Mean","Cт.SD","Quantity","Quantity.Mean","Quantity.SD","Automatic.Ct.Threshold","Ct.Threshold","Automatic.Baseline","Baseline.Start","Baseline.End","Comments","HIGHSD","EXPFAIL","SuperMix"
"124","F8","ST5","Herring","UNKNOWN","CY3","NFQ-MGB",33.83176804,27.32662201,5.696009636,NA,NA,NA,TRUE,0.01091607,TRUE,3,33,NA,"Y","N","SM7"
"125","F9","ST5","Cod","UNKNOWN","FAM","NFQ-MGB",NA,25.23806,6.060730457,NA,NA,NA,TRUE,0.100954591,TRUE,3,41,NA,"N","Y","SM7"
"126","F9","ST5","Herring","UNKNOWN","CY3","NFQ-MGB",NA,27.32662201,5.696009636,NA,NA,NA,TRUE,0.01091607,TRUE,3,41,NA,"N","Y","SM7"
"127","G10","Blank","Cod","UNKNOWN","FAM","NFQ-MGB",38.20588303,25.23806,6.060730457,NA,NA,NA,TRUE,0.100954591,TRUE,3,33,NA,"Y","Y","SM7"
"128","G10","Blank","Herring","UNKNOWN","CY3","NFQ-MGB",NA,27.32662201,5.696009636,NA,NA,NA,TRUE,0.01091607,TRUE,3,41,NA,"Y","Y","SM7"
"129","D10","ST1","Cod","UNKNOWN","FAM","NFQ-MGB",16.9454155,25.23806,6.060730457,NA,NA,NA,TRUE,0.100954591,TRUE,3,12,NA,"Y","N","SM8"
"130","D10","ST1","Herring","UNKNOWN","CY3","NFQ-MGB",19.91740227,27.32662201,5.696009636,NA,NA,NA,TRUE,0.01091607,TRUE,3,19,NA,"Y","N","SM8"
"131","D11","ST1","Cod","UNKNOWN","FAM","NFQ-MGB",17.98419189,25.23806,6.060730457,NA,NA,NA,TRUE,0.100954591,TRUE,3,14,NA,"Y","N","SM8"
"132","D11","ST1","Herring","UNKNOWN","CY3","NFQ-MGB",20.80871391,27.32662201,5.696009636,NA,NA,NA,TRUE,0.01091607,TRUE,3,20,NA,"Y","N","SM8"
"133","D12","ST1","Cod","UNKNOWN","FAM","NFQ-MGB",17.75795746,25.23806,6.060730457,NA,NA,NA,TRUE,0.100954591,TRUE,3,13,NA,"Y","N","SM8"
"134","D12","ST1","Herring","UNKNOWN","CY3","NFQ-MGB",20.78767204,27.32662201,5.696009636,NA,NA,NA,TRUE,0.01091607,TRUE,3,20,NA,"Y","N","SM8"
